iter	Logloss
0	0.6546282608
1	0.6178640168
2	0.5859200998
3	0.5562780902
4	0.5316039397
5	0.5088800373
6	0.4863376347
7	0.4665573165
8	0.4491215834
9	0.4320297253
10	0.4181151581
11	0.4050416644
12	0.3920418105
13	0.3804463818
14	0.3702705439
15	0.3631043962
16	0.3560122893
17	0.3486263241
18	0.341340153
19	0.331887971
20	0.3236689725
21	0.318145775
22	0.31209623
23	0.3064877883
24	0.3013452344
25	0.2965535327
26	0.291460827
27	0.2881143349
28	0.2841957467
29	0.2810644435
30	0.2774214614
31	0.2747062643
32	0.2719171188
33	0.2693726518
34	0.2669475688
35	0.2647947308
36	0.2636743192
37	0.2617493945
38	0.2595313776
39	0.2579342828
40	0.2565900944
41	0.2549113897
42	0.2537657757
43	0.2517876597
44	0.2499981946
45	0.248472532
46	0.2477149544
47	0.2464534426
48	0.2453781712
49	0.2443711545
50	0.2434001892
51	0.2425366052
52	0.2413014716
53	0.2403645034
54	0.2397865826
55	0.2389853179
56	0.2382262948
57	0.2374870854
58	0.2368399362
59	0.2360781988
60	0.2357587405
61	0.2352607386
62	0.2347457387
63	0.2341737969
64	0.2335356176
65	0.2330297157
66	0.232652228
67	0.2322159716
68	0.2316991435
69	0.2311052988
70	0.2306988712
71	0.230049612
72	0.2294674312
73	0.2291799162
74	0.2287498262
75	0.2283619016
76	0.2279770491
77	0.2276112594
78	0.2273528854
79	0.2269313342
80	0.2265744608
81	0.2261365019
82	0.2259055064
83	0.2255617532
84	0.2252809002
85	0.2249461018
86	0.2246746521
87	0.2244011495
88	0.2241035964
89	0.2238692644
90	0.2236654821
91	0.2233650009
92	0.2230493751
93	0.2227182632
94	0.2224975026
95	0.2222576314
96	0.2220052409
97	0.2216813679
98	0.22147542
99	0.221311844
100	0.2211166679
101	0.2209365922
102	0.2206659362
103	0.2205005374
104	0.2203048632
105	0.2200527374
106	0.2198010301
107	0.2195538236
108	0.2193752127
109	0.2192143143
110	0.2190507214
111	0.2189278324
112	0.2187142367
113	0.2185584374
114	0.2184243973
115	0.2182456336
116	0.2180658251
117	0.2179093186
118	0.2177803608
119	0.2177060577
120	0.217480688
121	0.2173446895
122	0.2172018038
123	0.2170147989
124	0.2168227898
125	0.2166574204
126	0.2165361048
127	0.2163663049
128	0.2161848495
129	0.2160174581
130	0.2158475668
131	0.2156993889
132	0.2155611215
133	0.2154217491
134	0.215264053
135	0.2151209017
136	0.2149696834
137	0.214868863
138	0.2146792536
139	0.2145161069
140	0.2143900796
141	0.2142884963
142	0.2141713842
143	0.214048099
144	0.2139466606
145	0.2138210248
146	0.213672188
147	0.2135003646
148	0.2133943944
149	0.2132265342
150	0.2131111499
151	0.2129251672
152	0.2128531384
153	0.2127341062
154	0.2126061331
155	0.212440775
156	0.2123099495
157	0.2121899459
158	0.212025269
159	0.2118958612
160	0.2117112167
161	0.2116006435
162	0.2114651594
163	0.2113256692
164	0.2112599735
165	0.2111839262
166	0.2110496276
167	0.2109166118
168	0.2107603722
169	0.2106916729
170	0.2106216446
171	0.2104832612
172	0.2103660496
173	0.2103046178
174	0.2101861392
175	0.2101128612
176	0.2100222498
177	0.2099759099
178	0.2098919697
179	0.2097998297
180	0.2096714268
181	0.2095650274
182	0.2094623196
183	0.2093514292
184	0.2092968738
185	0.2091728895
186	0.2090353901
187	0.208853516
188	0.2087724873
189	0.2086811403
190	0.2085885058
191	0.2084423195
192	0.2083868897
193	0.2082474898
194	0.2081843346
195	0.2081082359
196	0.2080492037
197	0.2079276304
198	0.2078032459
199	0.2076270979
