iter	Passed	Remaining
0	172	34317
1	200	19812
2	223	14668
3	243	11924
4	263	10276
5	278	9018
6	294	8115
7	310	7456
8	325	6910
9	339	6448
10	350	6020
11	364	5710
12	388	5594
13	403	5364
14	416	5132
15	423	4864
16	436	4695
17	451	4561
18	466	4442
19	481	4332
20	496	4235
21	511	4136
22	527	4057
23	542	3977
24	558	3907
25	573	3837
26	591	3786
27	606	3724
28	621	3661
29	635	3602
30	651	3550
31	667	3505
32	682	3451
33	696	3402
34	712	3358
35	727	3312
36	735	3241
37	751	3203
38	767	3167
39	788	3152
40	805	3123
41	820	3086
42	836	3053
43	854	3030
44	871	3001
45	888	2976
46	899	2926
47	915	2898
48	932	2872
49	947	2843
50	963	2815
51	985	2806
52	1001	2777
53	1017	2750
54	1034	2726
55	1049	2697
56	1063	2668
57	1077	2639
58	1093	2613
59	1112	2595
60	1128	2570
61	1143	2546
62	1159	2521
63	1174	2496
64	1195	2483
65	1210	2458
66	1225	2432
67	1240	2407
68	1255	2383
69	1270	2359
70	1284	2334
71	1300	2311
72	1315	2289
73	1330	2265
74	1346	2243
75	1361	2220
76	1376	2198
77	1392	2178
78	1410	2160
79	1426	2139
80	1441	2118
81	1457	2097
82	1473	2077
83	1488	2055
84	1504	2035
85	1519	2013
86	1534	1993
87	1549	1972
88	1565	1952
89	1581	1933
90	1595	1911
91	1615	1896
92	1631	1876
93	1647	1857
94	1663	1838
95	1684	1824
96	1699	1804
97	1714	1783
98	1729	1764
99	1744	1744
100	1760	1725
101	1775	1705
102	1793	1689
103	1812	1672
104	1828	1654
105	1844	1635
106	1861	1617
107	1878	1599
108	1893	1580
109	1909	1562
110	1925	1544
111	1942	1526
112	1957	1507
113	1974	1489
114	1989	1470
115	2005	1452
116	2026	1437
117	2048	1423
118	2063	1404
119	2079	1386
120	2096	1368
121	2111	1350
122	2132	1334
123	2148	1316
124	2164	1298
125	2180	1280
126	2196	1262
127	2214	1245
128	2235	1230
129	2251	1212
130	2268	1194
131	2285	1177
132	2301	1159
133	2319	1142
134	2336	1124
135	2352	1107
136	2368	1089
137	2385	1071
138	2402	1054
139	2422	1038
140	2441	1021
141	2457	1003
142	2474	986
143	2490	968
144	2504	950
145	2520	932
146	2536	914
147	2552	896
148	2567	878
149	2583	861
150	2599	843
151	2615	826
152	2631	808
153	2648	791
154	2664	773
155	2680	756
156	2696	738
157	2711	720
158	2727	703
159	2743	685
160	2759	668
161	2775	651
162	2791	633
163	2806	616
164	2824	599
165	2841	581
166	2856	564
167	2871	547
168	2887	529
169	2902	512
170	2916	494
171	2931	477
172	2945	459
173	2960	442
174	2976	425
175	2991	407
176	3006	390
177	3025	373
178	3040	356
179	3057	339
180	3074	322
181	3095	306
182	3109	288
183	3124	271
184	3139	254
185	3154	237
186	3169	220
187	3184	203
188	3199	186
189	3214	169
190	3231	152
191	3248	135
192	3262	118
193	3277	101
194	3291	84
195	3305	67
196	3320	50
197	3334	33
198	3349	16
199	3363	0
